a_level	b_level	c_level	description	ko_number
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	HK; hexokinase	K00844
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	GCK; glucokinase	K12407
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	glk; glucokinase	K00845
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	GPI, pgi; glucose-6-phosphate isomerase	K01810
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pgi1; glucose-6-phosphate isomerase, archaeal	K06859
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	tal-pgi; transaldolase / glucose-6-phosphate isomerase	K13810
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pgi-pmi; glucose/mannose-6-phosphate isomerase	K15916
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	PFK9; 6-phosphofructokinase	K24182
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pfkA, PFK; 6-phosphofructokinase 1	K00850
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pfkB; 6-phosphofructokinase 2	K16370
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	K21071
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pfkC; ADP-dependent phosphofructokinase/glucokinase	K00918
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	pfp, PFP; diphosphate-dependent phosphofructokinase	K00895
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	FBP, fbp; fructose-1,6-bisphosphatase I	K03841
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	glpX; fructose-1,6-bisphosphatase II	K02446
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	K11532
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	K01086
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	fbp3; fructose-1,6-bisphosphatase III	K04041
